Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
f19b9cae-0ea7-2d51-f2c5-946d448992a5,2020-01-15,,999-65-3365,,,,Erick204,Nicolas769,Stark857,,,,white,nonhispanic,M,Chelmsford  Massachusetts  US,966 Ortiz Park,Quincy,Massachusetts,Norfolk County,25021,02171,42.27314158733628,-71.05310893800056,4047.16,5278.91,31892
4cdd696b-7a6c-dffe-b1ba-66b561ddf55d,1993-10-10,,999-92-4099,S99922748,X87859644X,Mr.,Elwood28,Dario75,Klocko335,,,S,white,nonhispanic,M,Brookline  Massachusetts  US,1087 Walter Frontage road,Amesbury,Massachusetts,Essex County,25009,01913,42.82560631679709,-70.9567649976331,49458.46,35754.23,85561
2230008d-767a-e6bb-a12f-47361158ae16,1980-02-29,,999-23-3484,S99931870,X55853975X,Mrs.,Scarlett814,Dyan186,Cronin387,,Little434,W,white,nonhispanic,F,Revere  Massachusetts  US,206 Green Vale,Braintree,Massachusetts,Norfolk County,25021,02184,42.246404007369115,-70.97249538038159,167999.42,309913.70,131899
e18a2f81-3870-eabf-dd21-8d9bcf87361b,2015-04-18,,999-42-9123,,,,Gregory545,Eliseo499,Greenholt190,,,,white,nonhispanic,M,Quincy  Massachusetts  US,291 Krajcik Spur,New Bedford,Massachusetts,Bristol County,25005,02740,41.602433399201146,-70.919063657892,2602.58,57929.92,18491
cbd98cb4-5a3a-1c20-7d4c-5842206c3b3f,1977-11-04,,999-13-7294,S99987596,X47556351X,Mrs.,Theresa98,Vania595,Ferry570,,Champlin946,M,white,nonhispanic,F,North Attleborough  Massachusetts  US,313 Bosco Bridge,Pepperell,Massachusetts,Middlesex County,25017,01463,42.71459328223642,-71.60742163720856,340943.34,197539.35,66229
13a674ff-e2f7-06ad-461b-e4087dcedbd4,2021-04-05,,999-21-2930,,,,Theo630,Harley673,Stroman228,,,,white,nonhispanic,M,Medford  Massachusetts  US,810 Bergnaum Stravenue,Barnstable,Massachusetts,Barnstable County,25001,02675,41.678285887272345,-70.28459746472491,8837.38,0.00,50296
b1642e40-260b-d469-42ad-99446e63d7a6,1992-04-16,,999-45-1743,S99961804,X05678779X,Mrs.,Phyllis779,Tamatha836,Effertz744,,Windler79,M,white,nonhispanic,F,Hull  Massachusetts  US,939 Bergnaum Route,Watertown,Massachusetts,Middlesex County,25017,02472,42.33412197786222,-71.15020146801119,183638.79,615601.02,36027
2434053a-d804-4d42-962d-47615b78a1c9,1927-08-26,,999-60-2784,S99936138,X42753838X,Mrs.,Yael855,Ivana95,Von197,,Mann644,M,white,nonhispanic,F,Canton  Massachusetts  US,268 Cartwright Gate,Winchester,Massachusetts,Middlesex County,25017,01890,42.42062885618877,-71.13390987616924,252166.30,895379.41,209394
d24ae93c-ef3e-7648-91cc-f8f05a60c866,1965-08-12,,999-27-7738,S99999197,X95574689X,Mrs.,Sebrina910,Stephany248,Denesik803,,Daugherty69,M,white,nonhispanic,F,Abington  Massachusetts  US,276 Casper Gate Unit 28,Brookfield,Massachusetts,Worcester County,25027,01506,42.22614343131003,-72.11687102358103,591968.83,300378.23,95702
eec13363-c6e9-a26d-3750-814976e54a24,1967-01-08,2013-04-06,999-99-8896,S99992385,X95239013X,Mr.,Sylvester827,Hubert238,Denesik803,,,S,white,nonhispanic,M,Groton  Massachusetts  US,964 Hirthe Ferry,Chicopee,Massachusetts,Hampden County,25013,01013,42.1385623457791,-72.56657014580341,111563.82,5070.94,82956
2f72e25c-fbfa-4b6d-8061-c74714cfe7c9,1957-07-25,,999-65-5759,S99923288,X00357171X,Mrs.,Fae378,Calista635,Kuhlman484,,Pollich983,M,white,nonhispanic,F,Weymouth  Massachusetts  US,129 Stracke Vista Apt 58,Haverhill,Massachusetts,Essex County,25009,01832,42.766410111050654,-71.07454729117222,209854.40,281550.40,28727
365dc87a-536c-ee7e-c7bf-895a948b921b,1969-10-02,,999-87-4792,S99931773,X74876702X,Mrs.,Ivette731,,Prohaska837,,Rohan584,M,white,nonhispanic,F,Framingham  Massachusetts  US,1013 Vandervort Club,Attleboro,Massachusetts,Bristol County,25005,02703,41.92246719434334,-71.30929391826142,248658.48,414498.79,376139
2b36f57a-794a-fa75-471c-92140390fcc1,1962-09-24,,999-44-5959,S99910352,X13796761X,Mrs.,Terra840,,Abbott774,,Schinner682,M,white,nonhispanic,F,Acton  Massachusetts  US,399 Kuhn Grove Suite 71,Middleborough,Massachusetts,Plymouth County,,00000,41.91333508981772,-70.83505194524585,19115.40,1417903.14,7029
614a47b6-d032-6975-e85b-28c384c6c3ff,1974-08-01,,999-15-4550,S99949388,X96924062X,Mr.,Phillip440,,Champlin946,,,M,white,nonhispanic,M,Peabody  Massachusetts  US,901 Abshire Quay Unit 30,Worcester,Massachusetts,Worcester County,25027,01583,42.28537976854536,-71.87387432965143,35849.94,162744.93,875139
4b732c6e-10df-885f-1d17-253050ced633,1976-02-22,,999-18-5639,S99945651,X43910496X,Mr.,Myron933,Wm806,Shanahan202,,,D,black,nonhispanic,M,Pittsfield  Massachusetts  US,710 Brakus Approach Apt 66,Everett,Massachusetts,Middlesex County,25017,02149,42.37340788721224,-71.04874115042803,123919.63,38244.24,61636
c517c0ee-88b4-016d-3af5-0b2011fdd497,1965-07-05,,999-24-3636,S99965681,X74812648X,Mrs.,Myra819,,Williamson769,,Price929,M,white,nonhispanic,F,Lowell  Massachusetts  US,588 Toy Drive Unit 16,Lynn,Massachusetts,Essex County,25009,01906,42.47762370504622,-70.92129546209138,183738.31,632359.68,182392
5e816607-ff3f-8bc7-7f53-8f272a88f9a4,1967-07-01,1970-07-24,999-37-5851,,,,Roderick835,Sanford861,Hartmann983,,,,white,nonhispanic,M,Halifax  Massachusetts  US,489 Dicki Path,Plympton,Massachusetts,Plymouth County,,00000,41.99044818159065,-70.78604687572664,8321.58,53749.06,82756
2828dcbb-423e-b426-33c7-2554bd6cd969,1987-04-17,,999-44-1084,S99997787,X88157101X,Mr.,Miles206,Dewayne363,Kshlerin58,,,M,white,nonhispanic,M,Boston  Massachusetts  US,669 Shields Underpass Unit 44,New Bedford,Massachusetts,Bristol County,25005,02746,41.59988285978001,-70.90760205297093,135793.50,0.00,101170
2f1fe0ea-bdc3-3a60-5c66-6c5feabf63ae,1967-01-08,,999-88-1558,S99988449,X78697452X,Mr.,Reyes140,Dominique369,Leffler128,,,D,white,nonhispanic,M,Seekonk  Massachusetts  US,140 Bogisich Meadow Apt 77,Chicopee,Massachusetts,Hampden County,25013,01020,42.210664902047924,-72.53278998678124,487734.33,249038.25,82956
6eda9d4c-6a52-d876-6690-bc8d756d32aa,2011-07-27,,999-50-2703,,,,Kendall673,,Ritchie586,,,,white,nonhispanic,M,Charlton  Massachusetts  US,922 Berge Approach,Wendell,Massachusetts,Franklin County,,00000,42.54967181346134,-72.45565499308692,24719.46,21918.32,71
f3f81cf2-e42b-6dc3-5d7c-d64bde2089a1,1960-10-09,,999-79-9692,S99925901,X30568115X,Mrs.,Madonna830,Desirae249,Lind531,,O'Conner199,M,white,hispanic,F,Leominster  Massachusetts  US,790 Grady Dam Apt 18,Melrose,Massachusetts,Middlesex County,25017,02176,42.42680777160018,-71.06944838505976,22668.07,1428863.20,20589
